Student_ID,Name,Age,Class,Math,Science,English,Attendance,City,History,Computer,Total,Percentage,Grade
1.0,Ishaan,15.0,10th,95.0,71.0,76.0,75.0,Chennai,78.0,46.0,366.0,73.2,C
2.0,Prisha,16.0,11th,71.0,75.0,97.0,75.0,Pune,91.0,57.0,391.0,78.2,B
3.0,Ananya,17.0,11th,59.0,76.0,72.0,73.0,Chennai,68.0,66.0,341.0,68.2,C
4.0,Diya,17.0,10th,89.0,0.0,83.0,61.0,Delhi,54.0,73.0,299.0,59.8,D
5.0,Atharv,15.493935309973045,11th,50.0,61.0,98.0,65.0,Chennai,82.0,66.0,357.0,71.4,C
6.0,Ishaan,17.0,9th,54.0,43.0,70.0,72.0,,47.0,56.0,270.0,54.0,D
7.0,Ira,17.0,12th,71.0,70.0,97.0,89.0,Mumbai,60.0,82.0,380.0,76.0,B
8.0,Diya,15.0,9th,67.0,57.0,50.0,58.0,Pune,78.0,98.0,350.0,70.0,C
9.0,,14.0,12th,61.0,77.0,43.0,81.0,Delhi,97.0,83.0,361.0,72.2,C
10.0,Kabir,14.0,10th,80.0,63.0,98.0,64.0,Pune,58.0,98.0,397.0,79.4,B
11.0,Atharv,14.0,9th,56.0,95.0,57.0,86.0,Pune,62.0,90.0,360.0,72.0,C
12.0,Aditya,14.0,10th,98.0,62.0,43.0,62.0,Delhi,50.0,93.0,346.0,69.2,C
13.0,Vivaan,17.0,10th,65.0,61.0,88.0,54.0,Bangalore,50.0,63.0,327.0,65.4,C
14.0,Aanya,16.0,12th,83.0,41.0,0.0,60.0,Chennai,63.0,64.0,251.0,50.2,D
15.0,Arjun,16.0,12th,46.0,70.0,68.0,59.0,Delhi,92.0,46.0,322.0,64.4,C
16.0,Vivaan,15.0,12th,81.0,94.0,63.0,62.0,Mumbai,75.0,91.0,404.0,80.8,B
17.0,Aarav,15.493935309973045,9th,96.0,50.0,61.0,90.0,Pune,79.0,45.0,331.0,66.2,C
18.0,Aanya,17.0,11th,65.0,67.0,41.0,95.0,Hyderabad,63.0,92.0,328.0,65.6,C
19.0,Aanya,16.0,,64.0,85.0,83.0,99.0,Delhi,42.0,63.0,337.0,67.4,C
20.0,Sara,16.0,12th,49.0,71.0,45.0,64.0,Chennai,61.0,72.0,298.0,59.6,D
21.0,Rudra,14.0,9th,98.0,44.0,81.0,91.0,Pune,92.0,88.0,403.0,80.6,B
22.0,Siya,17.0,12th,84.0,77.0,64.0,56.0,Bangalore,41.0,68.0,334.0,66.8,C
23.0,Ananya,17.0,9th,58.0,49.0,94.0,89.0,Mumbai,63.0,82.0,346.0,69.2,C
24.0,Ananya,14.0,10th,50.0,79.0,96.0,77.0,Bangalore,83.0,61.0,369.0,73.8,C
25.0,Ira,17.0,,52.0,85.0,60.0,81.0,Hyderabad,69.0,65.0,331.0,66.2,C
26.0,Aanya,17.0,12th,92.0,63.0,94.0,84.0,Delhi,77.0,67.0,393.0,78.6,B
27.0,Prisha,15.0,10th,47.0,74.0,98.0,64.0,Pune,41.0,89.0,349.0,69.8,C
28.0,Aditya,16.0,10th,79.0,83.0,55.0,97.0,Delhi,99.0,60.0,376.0,75.2,B
29.0,Reyansh,17.0,10th,43.0,87.0,70.0,85.0,Chennai,60.0,88.0,348.0,69.6,C
30.0,Ira,15.0,12th,86.0,99.0,53.0,70.0,Delhi,72.0,46.0,356.0,71.2,C
31.0,,16.0,11th,70.0,62.0,78.0,55.0,Mumbai,51.0,56.0,317.0,63.4,C
32.0,Krishna,14.0,11th,67.0,56.0,67.0,74.31983805668017,Hyderabad,97.0,59.0,346.0,69.2,C
33.0,Ishaan,15.0,11th,50.0,40.0,71.0,53.0,Bangalore,61.0,80.0,302.0,60.4,C
34.0,Anika,15.0,12th,82.0,94.0,67.0,60.0,Hyderabad,83.0,88.0,414.0,82.8,B
35.0,Kabir,16.0,10th,40.0,70.0,0.0,93.0,Pune,64.0,59.0,233.0,46.6,D
36.0,Myra,14.0,12th,88.0,70.0,0.0,75.0,Delhi,88.0,93.0,339.0,67.8,C
37.0,Anika,15.0,10th,86.0,81.0,88.0,86.0,Pune,66.0,61.0,382.0,76.4,B
38.0,,17.0,12th,91.0,96.0,48.0,72.0,Bangalore,98.0,67.0,400.0,80.0,B
39.0,,17.0,12th,77.0,94.0,97.0,78.0,Pune,81.0,79.0,428.0,85.6,B
40.0,Prisha,17.0,10th,63.0,81.0,84.0,70.0,Chennai,67.0,88.0,383.0,76.6,B
41.0,Ananya,14.0,11th,93.0,92.0,61.0,97.0,Hyderabad,99.0,46.0,391.0,78.2,B
42.0,Ishaan,15.0,10th,99.0,95.0,71.0,94.0,Bangalore,55.0,40.0,360.0,72.0,C
43.0,Aanya,17.0,9th,0.0,0.0,44.0,94.0,Bangalore,54.0,71.0,169.0,33.8,E
44.0,Atharv,14.0,9th,0.0,48.0,62.0,98.0,Bangalore,86.0,52.0,248.0,49.6,D
45.0,Ananya,17.0,10th,70.0,61.0,44.0,76.0,Mumbai,90.0,69.0,334.0,66.8,C
46.0,Aditya,16.0,12th,80.0,52.0,81.0,88.0,Hyderabad,83.0,62.0,358.0,71.6,C
47.0,Myra,15.0,9th,85.0,64.0,92.0,89.0,Pune,94.0,90.0,425.0,85.0,B
48.0,Sara,15.0,9th,89.0,87.0,71.0,62.0,Bangalore,91.0,98.0,436.0,87.2,B
49.0,Kabir,14.0,12th,65.0,57.0,98.0,72.0,Hyderabad,96.0,95.0,411.0,82.2,B
50.0,,14.0,12th,88.0,90.0,49.0,65.0,Bangalore,42.0,58.0,327.0,65.4,C
51.0,Atharv,15.0,11th,89.0,51.0,98.0,79.0,Chennai,76.0,71.0,385.0,77.0,B
52.0,Kabir,17.0,12th,44.0,79.0,78.0,53.0,Chennai,90.0,69.0,360.0,72.0,C
53.0,Vivaan,17.0,10th,59.0,56.0,97.0,89.0,Chennai,46.0,68.0,326.0,65.2,C
54.0,Arjun,16.0,10th,91.0,54.0,0.0,65.0,Delhi,60.0,88.0,293.0,58.6,D
55.0,Rudra,17.0,11th,80.0,81.0,46.0,80.0,Bangalore,48.0,84.0,339.0,67.8,C
56.0,Kabir,14.0,,50.0,54.0,68.0,91.0,Delhi,78.0,68.0,318.0,63.6,C
57.0,Anika,14.0,9th,95.0,54.0,98.0,74.0,Hyderabad,57.0,69.0,373.0,74.6,C
754.1878787878788,Aanya,17.0,12th,93.0,94.0,86.0,93.0,Delhi,43.0,55.0,371.0,74.2,C
59.0,Vivaan,14.0,10th,72.0,78.0,42.0,61.0,Hyderabad,64.0,79.0,335.0,67.0,C
60.0,Rudra,15.0,9th,89.0,52.0,58.0,75.0,Hyderabad,99.0,58.0,356.0,71.2,C
61.0,Kabir,15.0,11th,77.0,0.0,49.0,86.0,Hyderabad,53.0,57.0,236.0,47.2,D
62.0,Myra,17.0,11th,66.0,71.0,67.0,97.0,Pune,89.0,40.0,333.0,66.6,C
63.0,Siya,15.0,10th,73.0,48.0,68.0,82.0,Delhi,97.0,53.0,339.0,67.8,C
64.0,Ananya,15.0,11th,54.0,79.0,54.0,77.0,Pune,48.0,90.0,325.0,65.0,C
65.0,Atharv,16.0,11th,71.0,59.0,74.0,58.0,Bangalore,65.0,86.0,355.0,71.0,C
66.0,Myra,16.0,10th,97.0,65.0,45.0,61.0,Delhi,92.0,89.0,388.0,77.6,B
67.0,Atharv,15.0,12th,60.0,66.0,51.0,54.0,,41.0,41.0,259.0,51.8,D
68.0,Siya,17.0,12th,85.0,60.0,86.0,77.0,Bangalore,59.0,93.0,383.0,76.6,B
69.0,Riya,16.0,11th,44.0,57.0,77.0,84.0,Hyderabad,67.0,67.0,312.0,62.4,C
70.0,Anika,14.0,,45.0,52.0,52.0,54.0,Delhi,86.0,88.0,323.0,64.6,C
71.0,Ananya,14.0,12th,77.0,55.0,68.0,83.0,Bangalore,99.0,89.0,388.0,77.6,B
72.0,Riya,14.0,11th,61.0,48.0,58.0,95.0,Chennai,46.0,69.0,282.0,56.4,D
73.0,Krishna,15.493935309973045,12th,57.0,51.0,42.0,83.0,,83.0,77.0,310.0,62.0,C
74.0,Ananya,15.0,11th,53.0,83.0,47.0,62.0,Chennai,47.0,90.0,320.0,64.0,C
75.0,Riya,14.0,9th,49.0,77.0,47.0,88.0,Delhi,86.0,43.0,302.0,60.4,C
76.0,Aarav,17.0,10th,85.0,58.0,94.0,91.0,Pune,74.0,40.0,351.0,70.2,C
77.0,Ishaan,16.0,10th,52.0,99.0,97.0,94.0,Delhi,53.0,47.0,348.0,69.6,C
78.0,Krishna,15.0,12th,70.0,46.0,59.0,97.0,,56.0,68.0,299.0,59.8,D
79.0,Aarav,16.0,12th,69.0,96.0,86.0,63.0,Pune,75.0,94.0,420.0,84.0,B
80.0,Aanya,17.0,12th,42.0,74.0,43.0,60.0,Delhi,89.0,78.0,326.0,65.2,C
81.0,Atharv,14.0,10th,69.0,87.0,90.0,91.0,Bangalore,79.0,42.0,367.0,73.4,C
82.0,Diya,14.0,9th,45.0,57.0,60.0,74.31983805668017,Mumbai,43.0,71.0,276.0,55.2,D
83.0,Ira,17.0,9th,68.0,55.0,42.0,53.0,Bangalore,41.0,49.0,255.0,51.0,D
84.0,Sara,14.0,10th,47.0,94.0,84.0,82.0,Bangalore,45.0,49.0,319.0,63.8,C
85.0,Atharv,15.0,9th,83.0,78.0,47.0,56.0,Hyderabad,93.0,58.0,359.0,71.8,C
86.0,Aditya,17.0,10th,84.0,43.0,62.0,90.0,Hyderabad,81.0,85.0,355.0,71.0,C
87.0,Aditya,16.0,9th,82.0,98.0,55.0,57.0,Bangalore,43.0,73.0,351.0,70.2,C
88.0,Aarav,17.0,,83.0,64.0,52.0,86.0,Chennai,93.0,99.0,391.0,78.2,B
89.0,Reyansh,15.0,11th,72.0,71.0,42.0,59.0,Pune,68.0,72.0,325.0,65.0,C
90.0,Rudra,15.0,10th,56.0,79.0,87.0,92.0,Hyderabad,57.0,62.0,341.0,68.2,C
91.0,,17.0,9th,87.0,52.0,0.0,64.0,Bangalore,65.0,94.0,298.0,59.6,D
92.0,Krishna,17.0,12th,50.0,84.0,99.0,87.0,Mumbai,83.0,67.0,383.0,76.6,B
93.0,Ishaan,14.0,9th,52.0,56.0,53.0,64.0,Chennai,73.0,71.0,305.0,61.0,C
754.1878787878788,,15.0,11th,89.0,0.0,52.0,54.0,Delhi,49.0,89.0,279.0,55.8,D
95.0,Atharv,17.0,11th,50.0,76.0,92.0,78.0,Bangalore,75.0,46.0,339.0,67.8,C
96.0,Aanya,17.0,9th,70.0,45.0,96.0,68.0,Bangalore,53.0,68.0,332.0,66.4,C
97.0,Vivaan,15.0,9th,67.0,58.0,46.0,59.0,Pune,70.0,47.0,288.0,57.6,D
98.0,Aarav,17.0,12th,0.0,52.0,54.0,61.0,Chennai,87.0,40.0,233.0,46.6,D
99.0,Siya,14.0,12th,45.0,96.0,46.0,53.0,Hyderabad,54.0,96.0,337.0,67.4,C
100.0,Reyansh,15.0,9th,80.0,99.0,77.0,80.0,Hyderabad,47.0,94.0,397.0,79.4,B
101.0,Aditya,14.0,9th,55.0,0.0,73.0,67.0,Hyderabad,53.0,42.0,223.0,44.6,D
754.1878787878788,Aanya,14.0,9th,43.0,53.0,80.0,65.0,Delhi,62.0,63.0,301.0,60.2,C
103.0,Atharv,14.0,9th,74.0,70.0,61.0,89.0,Chennai,99.0,62.0,366.0,73.2,C
104.0,Aditya,14.0,10th,99.0,93.0,63.0,85.0,Chennai,96.0,98.0,449.0,89.8,B
105.0,Aarav,15.0,9th,87.0,43.0,88.0,74.0,Hyderabad,79.0,47.0,344.0,68.8,C
106.0,Aditya,14.0,12th,95.0,99.0,76.0,72.0,Hyderabad,60.0,93.0,423.0,84.6,B
107.0,Reyansh,14.0,11th,98.0,78.0,83.0,61.0,Pune,55.0,96.0,410.0,82.0,B
108.0,Ananya,17.0,10th,65.0,47.0,40.0,83.0,Mumbai,84.0,86.0,322.0,64.4,C
109.0,Myra,15.0,9th,96.0,64.0,49.0,85.0,Mumbai,57.0,76.0,342.0,68.4,C
110.0,Aditya,15.0,11th,51.0,52.0,82.0,86.0,Bangalore,86.0,42.0,313.0,62.6,C
111.0,Aarav,16.0,10th,50.0,71.0,55.0,52.0,Bangalore,92.0,90.0,358.0,71.6,C
112.0,Reyansh,15.0,11th,76.0,98.0,85.0,58.0,Chennai,63.0,72.0,394.0,78.8,B
113.0,Myra,15.0,9th,64.0,77.0,47.0,67.0,Chennai,65.0,67.0,320.0,64.0,C
114.0,Ishaan,16.0,9th,57.0,77.0,95.0,92.0,Delhi,64.0,86.0,379.0,75.8,B
115.0,Krishna,15.0,12th,58.0,95.0,88.0,84.0,Delhi,99.0,47.0,387.0,77.4,B
116.0,Ananya,15.0,9th,62.0,67.0,64.0,83.0,Mumbai,99.0,73.0,365.0,73.0,C
117.0,Ananya,15.0,9th,94.0,92.0,89.0,90.0,Bangalore,99.0,74.0,448.0,89.6,B
118.0,Rudra,15.0,10th,77.0,69.0,51.0,63.0,Mumbai,84.0,71.0,352.0,70.4,C
119.0,Riya,16.0,12th,93.0,42.0,64.0,53.0,Mumbai,80.0,63.0,342.0,68.4,C
120.0,Ira,15.0,10th,57.0,67.0,56.0,78.0,Bangalore,68.0,53.0,301.0,60.2,C
121.0,Ishaan,15.0,11th,65.0,42.0,99.0,90.0,Delhi,54.0,71.0,331.0,66.2,C
122.0,Sara,16.0,9th,45.0,84.0,65.0,94.0,Pune,84.0,95.0,373.0,74.6,C
123.0,Prisha,17.0,11th,43.0,93.0,85.0,99.0,Pune,40.0,85.0,346.0,69.2,C
124.0,Kabir,14.0,,83.0,73.0,87.0,64.0,Pune,64.0,82.0,389.0,77.8,B
125.0,Reyansh,17.0,9th,90.0,55.0,53.0,77.0,Bangalore,46.0,55.0,299.0,59.8,D
126.0,Ishaan,16.0,,68.0,61.0,80.0,91.0,Hyderabad,48.0,43.0,300.0,60.0,C
127.0,Riya,14.0,10th,98.0,71.0,75.0,65.0,Hyderabad,63.0,91.0,398.0,79.6,B
128.0,Ananya,16.0,10th,73.0,77.0,96.0,61.0,Hyderabad,40.0,76.0,362.0,72.4,C
129.0,Diya,16.0,10th,56.0,47.0,62.0,54.0,Chennai,83.0,93.0,341.0,68.2,C
130.0,Kabir,15.0,10th,82.0,94.0,82.0,83.0,Delhi,47.0,60.0,365.0,73.0,C
131.0,Riya,14.0,10th,82.0,47.0,45.0,91.0,Delhi,63.0,53.0,290.0,58.0,D
132.0,Ishaan,15.0,9th,92.0,96.0,86.0,50.0,Chennai,50.0,70.0,394.0,78.8,B
133.0,Ira,14.0,10th,55.0,45.0,44.0,88.0,Mumbai,90.0,94.0,328.0,65.6,C
134.0,Vivaan,16.0,9th,41.0,53.0,82.0,81.0,,56.0,87.0,319.0,63.8,C
135.0,Rudra,16.0,9th,73.0,71.0,64.0,75.0,Hyderabad,47.0,57.0,312.0,62.4,C
136.0,Riya,17.0,10th,94.0,74.0,57.0,66.0,Pune,74.0,46.0,345.0,69.0,C
137.0,Arjun,14.0,10th,47.0,49.0,52.0,97.0,Hyderabad,74.0,49.0,271.0,54.2,D
138.0,Aanya,15.0,12th,52.0,42.0,82.0,76.0,Pune,72.0,46.0,294.0,58.8,D
139.0,Aanya,17.0,9th,81.0,98.0,53.0,73.0,Mumbai,98.0,72.0,402.0,80.4,B
754.1878787878788,Prisha,17.0,10th,47.0,51.0,67.0,84.0,Pune,44.0,62.0,271.0,54.2,D
141.0,Diya,17.0,10th,0.0,88.0,57.0,95.0,Pune,81.0,60.0,286.0,57.2,D
142.0,Ishaan,15.0,10th,71.0,98.0,98.0,91.0,Bangalore,78.0,58.0,403.0,80.6,B
143.0,Aarav,17.0,12th,75.0,70.0,99.0,88.0,Pune,97.0,87.0,428.0,85.6,B
144.0,Aarav,15.0,12th,86.0,68.0,96.0,75.0,Bangalore,80.0,58.0,388.0,77.6,B
145.0,Prisha,17.0,11th,69.0,44.0,67.0,98.0,Delhi,67.0,75.0,322.0,64.4,C
146.0,Riya,15.0,9th,40.0,91.0,90.0,87.0,Chennai,46.0,68.0,335.0,67.0,C
147.0,Krishna,16.0,11th,82.0,64.0,0.0,72.0,Pune,48.0,99.0,293.0,58.6,D
148.0,Aditya,16.0,10th,78.0,80.0,0.0,71.0,Delhi,47.0,57.0,262.0,52.4,D
149.0,Ishaan,16.0,12th,56.0,70.0,71.0,53.0,Bangalore,51.0,41.0,289.0,57.8,D
