Student_ID,Name,Age,Class,Math,Science,English,Attendance,City,History,Computer,Total,Percentage,Grade
1.0,Ishaan,15.0,10th,95.0,71.0,76.0,75.0,Chennai,78,46,366.0,73.2,C
2.0,Prisha,16.0,11th,71.0,75.0,97.0,75.0,Pune,91,57,391.0,78.2,B
3.0,Ananya,17.0,11th,59.0,76.0,72.0,73.0,Chennai,68,66,341.0,68.2,C
4.0,Diya,17.0,10th,89.0,0.0,83.0,61.0,Delhi,54,73,299.0,59.8,D
5.0,Atharv,,11th,50.0,61.0,98.0,65.0,Chennai,82,66,357.0,71.4,C
6.0,Ishaan,17.0,9th,54.0,43.0,70.0,72.0,,47,56,270.0,54.0,D
7.0,Ira,17.0,12th,71.0,70.0,97.0,89.0,Mumbai,60,82,380.0,76.0,B
8.0,Diya,15.0,9th,67.0,57.0,50.0,58.0,Pune,78,98,350.0,70.0,C
9.0,,14.0,12th,61.0,77.0,43.0,81.0,Delhi,97,83,361.0,72.2,C
10.0,Kabir,14.0,10th,80.0,63.0,98.0,64.0,Pune,58,98,397.0,79.4,B
11.0,Atharv,14.0,9th,56.0,95.0,57.0,86.0,Pune,62,90,360.0,72.0,C
12.0,Aditya,14.0,10th,98.0,62.0,43.0,62.0,Delhi,50,93,346.0,69.2,C
13.0,Vivaan,17.0,10th,65.0,61.0,88.0,54.0,Bangalore,50,63,327.0,65.4,C
14.0,Aanya,16.0,12th,83.0,41.0,0.0,60.0,Chennai,63,64,251.0,50.2,D
15.0,Arjun,16.0,12th,46.0,70.0,68.0,59.0,Delhi,92,46,322.0,64.4,C
16.0,Vivaan,15.0,12th,81.0,94.0,63.0,62.0,Mumbai,75,91,404.0,80.8,B
17.0,Aarav,,9th,96.0,50.0,61.0,90.0,Pune,79,45,331.0,66.2,C
18.0,Aanya,17.0,11th,65.0,67.0,41.0,95.0,Hyderabad,63,92,328.0,65.6,C
19.0,Aanya,16.0,,64.0,85.0,83.0,99.0,Delhi,42,63,337.0,67.4,C
20.0,Sara,16.0,12th,49.0,71.0,45.0,64.0,Chennai,61,72,298.0,59.6,D
21.0,Rudra,14.0,9th,98.0,44.0,81.0,91.0,Pune,92,88,403.0,80.6,B
22.0,Siya,17.0,12th,84.0,77.0,64.0,56.0,Bangalore,41,68,334.0,66.8,C
23.0,Ananya,17.0,9th,58.0,49.0,94.0,89.0,Mumbai,63,82,346.0,69.2,C
24.0,Ananya,14.0,10th,50.0,79.0,96.0,77.0,Bangalore,83,61,369.0,73.8,C
25.0,Ira,17.0,,52.0,85.0,60.0,81.0,Hyderabad,69,65,331.0,66.2,C
26.0,Aanya,17.0,12th,92.0,63.0,94.0,84.0,Delhi,77,67,393.0,78.6,B
27.0,Prisha,15.0,10th,47.0,74.0,98.0,64.0,Pune,41,89,349.0,69.8,C
28.0,Aditya,16.0,10th,79.0,83.0,55.0,97.0,Delhi,99,60,376.0,75.2,B
29.0,Reyansh,17.0,10th,43.0,87.0,70.0,85.0,Chennai,60,88,348.0,69.6,C
30.0,Ira,15.0,12th,86.0,99.0,53.0,70.0,Delhi,72,46,356.0,71.2,C
31.0,,16.0,11th,70.0,62.0,78.0,55.0,Mumbai,51,56,317.0,63.4,C
32.0,Krishna,14.0,11th,67.0,56.0,67.0,,Hyderabad,97,59,346.0,69.2,C
33.0,Ishaan,15.0,11th,50.0,40.0,71.0,53.0,Bangalore,61,80,302.0,60.4,C
34.0,Anika,15.0,12th,82.0,94.0,67.0,60.0,Hyderabad,83,88,414.0,82.8,B
35.0,Kabir,16.0,10th,40.0,70.0,0.0,93.0,Pune,64,59,233.0,46.6,D
36.0,Myra,14.0,12th,88.0,70.0,0.0,75.0,Delhi,88,93,339.0,67.8,C
37.0,Anika,15.0,10th,86.0,81.0,88.0,86.0,Pune,66,61,382.0,76.4,B
38.0,,17.0,12th,91.0,96.0,48.0,72.0,Bangalore,98,67,400.0,80.0,B
39.0,,17.0,12th,77.0,94.0,97.0,78.0,Pune,81,79,428.0,85.6,B
40.0,Prisha,17.0,10th,63.0,81.0,84.0,70.0,Chennai,67,88,383.0,76.6,B
41.0,Ananya,14.0,11th,93.0,92.0,61.0,97.0,Hyderabad,99,46,391.0,78.2,B
42.0,Ishaan,15.0,10th,99.0,95.0,71.0,94.0,Bangalore,55,40,360.0,72.0,C
43.0,Aanya,17.0,9th,0.0,0.0,44.0,94.0,Bangalore,54,71,169.0,33.8,E
44.0,Atharv,14.0,9th,0.0,48.0,62.0,98.0,Bangalore,86,52,248.0,49.6,D
45.0,Ananya,17.0,10th,70.0,61.0,44.0,76.0,Mumbai,90,69,334.0,66.8,C
46.0,Aditya,16.0,12th,80.0,52.0,81.0,88.0,Hyderabad,83,62,358.0,71.6,C
47.0,Myra,15.0,9th,85.0,64.0,92.0,89.0,Pune,94,90,425.0,85.0,B
48.0,Sara,15.0,9th,89.0,87.0,71.0,62.0,Bangalore,91,98,436.0,87.2,B
49.0,Kabir,14.0,12th,65.0,57.0,98.0,72.0,Hyderabad,96,95,411.0,82.2,B
50.0,,14.0,12th,88.0,90.0,49.0,65.0,Bangalore,42,58,327.0,65.4,C
51.0,Atharv,15.0,11th,89.0,51.0,98.0,79.0,Chennai,76,71,385.0,77.0,B
52.0,Kabir,17.0,12th,44.0,79.0,78.0,53.0,Chennai,90,69,360.0,72.0,C
53.0,Vivaan,17.0,10th,59.0,56.0,97.0,89.0,Chennai,46,68,326.0,65.2,C
54.0,Arjun,16.0,10th,91.0,54.0,0.0,65.0,Delhi,60,88,293.0,58.6,D
55.0,Rudra,17.0,11th,80.0,81.0,46.0,80.0,Bangalore,48,84,339.0,67.8,C
56.0,Kabir,14.0,,50.0,54.0,68.0,91.0,Delhi,78,68,318.0,63.6,C
57.0,Anika,14.0,9th,95.0,54.0,98.0,74.0,Hyderabad,57,69,373.0,74.6,C
,Aanya,17.0,12th,93.0,94.0,86.0,93.0,Delhi,43,55,371.0,74.2,C
